rank,lon,lat,confidence,agreeing_types,source,types,tile_id
1,30.91626,29.28015,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
2,30.9156,29.27938,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
3,30.91661,29.28568,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
4,30.89625,29.25477,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
5,30.91586,29.28596,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
6,30.91925,29.28128,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
7,30.91538,29.2851,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
8,30.91541,29.28065,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
9,30.89914,29.25033,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
10,30.91975,29.25436,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
11,30.90015,29.25075,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
12,30.91694,29.28656,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
13,30.91953,29.25389,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
14,30.87702,29.26998,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
15,30.91903,29.28181,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
16,30.91987,29.28094,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
17,30.89698,29.25445,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
18,30.87731,29.25084,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
19,30.91937,29.28586,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
20,30.89568,29.25462,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
21,30.89891,29.25068,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
22,30.88003,29.28414,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
23,30.91933,29.28662,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
24,30.91934,29.25404,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
25,30.92061,29.25541,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
26,30.87489,29.2551,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
27,30.91924,29.28021,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
28,30.88406,29.25055,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
29,30.89666,29.25533,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
30,30.90344,29.25579,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
31,30.87731,29.26995,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
32,30.89688,29.25165,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
33,30.89632,29.251,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
34,30.92041,29.25595,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
35,30.89833,29.25069,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
36,30.91575,29.24749,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
37,30.90376,29.25553,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
38,30.87528,29.25494,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
39,30.88469,29.26693,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
40,30.91594,29.24751,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
41,30.90095,29.25089,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
42,30.90072,29.25109,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
43,30.899,29.24935,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
44,30.92116,29.25608,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
45,30.89543,29.25033,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
46,30.88459,29.25116,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
47,30.87764,29.26894,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
48,30.91262,29.29272,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
49,30.88162,29.25766,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
50,30.89593,29.24997,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
51,30.89742,29.25154,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
52,30.89931,29.25533,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
53,30.88469,29.26665,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
54,30.91283,29.29207,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
55,30.89443,29.26292,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
56,30.87552,29.25533,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
