rank,lon,lat,confidence,agreeing_types,source,types,tile_id
57,30.89434,29.26254,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
58,30.90316,29.2556,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
59,30.89503,29.25017,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
60,30.91918,29.25294,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
61,30.87753,29.27043,7,7,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99;temporal_variance_999",tile_30.8740_29.2470
62,30.91679,29.28118,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
63,30.91622,29.28433,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
64,30.91738,29.28031,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
65,30.91721,29.27891,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
66,30.92516,29.28736,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
67,30.91573,29.28291,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
68,30.91643,29.28348,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
69,30.88582,29.24956,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
70,30.91805,29.28504,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
71,30.91648,29.28215,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
72,30.92546,29.28811,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
73,30.92561,29.2869,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
74,30.92315,29.28845,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
75,30.92404,29.28803,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
76,30.91791,29.28592,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
77,30.88656,29.24951,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
78,30.91772,29.28141,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
79,30.88804,29.2506,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
80,30.9252,29.28897,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
81,30.92536,29.28622,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
82,30.92424,29.28901,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
83,30.92002,29.28422,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
84,30.91746,29.28388,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
85,30.88455,29.2495,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
86,30.91793,29.28703,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
87,30.92351,29.25883,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
88,30.92414,29.25907,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
89,30.91478,29.28192,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
90,30.91648,29.29078,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
91,30.92131,29.28283,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
92,30.88112,29.28385,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
93,30.92026,29.28618,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
94,30.8888,29.25046,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
95,30.88594,29.24876,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
96,30.91644,29.24936,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
97,30.92182,29.29104,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
98,30.9172,29.28262,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
99,30.91854,29.28353,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
100,30.88354,29.24911,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
101,30.92107,29.28166,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
102,30.92309,29.28749,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
103,30.8853,29.28592,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
104,30.87797,29.26833,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
105,30.8802,29.28333,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
106,30.88468,29.28783,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
107,30.92165,29.29202,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
108,30.92021,29.28232,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
109,30.88465,29.28652,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
110,30.92562,29.28122,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
111,30.88447,29.24867,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
112,30.88542,29.2879,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
113,30.89774,29.24894,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
114,30.89883,29.27434,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
115,30.88827,29.25261,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
116,30.92565,29.28575,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
117,30.92003,29.26236,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
118,30.92353,29.25999,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
119,30.89673,29.27325,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
120,30.88593,29.2866,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
121,30.92422,29.26046,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
122,30.89349,29.25186,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
123,30.92127,29.25414,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
124,30.88718,29.24838,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
125,30.92494,29.25878,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
126,30.91984,29.26171,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
127,30.89295,29.25249,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
128,30.91328,29.2853,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
129,30.88876,29.2525,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
130,30.91729,29.25085,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
131,30.87591,29.28088,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
132,30.92046,29.28932,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
133,30.90981,29.26337,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
134,30.87643,29.28207,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
135,30.89601,29.25317,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
136,30.92133,29.25686,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
137,30.89652,29.2529,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
138,30.92394,29.25775,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
139,30.8773,29.28108,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
140,30.89622,29.27275,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
141,30.91089,29.25295,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
142,30.92331,29.25448,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
143,30.89843,29.24841,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
144,30.91281,29.28815,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
145,30.87978,29.25717,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
146,30.89111,29.24906,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
147,30.91139,29.29255,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
148,30.91919,29.25509,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
149,30.91718,29.24986,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
150,30.87636,29.25808,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
151,30.89809,29.25434,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
152,30.92253,29.25692,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
153,30.91079,29.25593,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
154,30.92134,29.28085,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
155,30.88047,29.25691,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
156,30.89601,29.25591,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
157,30.8825,29.28337,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
158,30.88526,29.24785,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
159,30.87527,29.2817,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
160,30.91824,29.25259,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
161,30.88241,29.25736,6,6,hotspot_cluster,"db_variance;depolarization_fraction;local_contrast;moisture_differential;speckle_divergence;temporal_variance_99",tile_30.8740_29.2470
