lon,lat,score,chance,tile_id,pathway
32.871520000000004,24.13976,1.230452e-01,0.0114,tile_32.8500_24.0600,depolarization_fraction
32.878080000000004,24.13976,1.447726e-01,0.0613,tile_32.8500_24.0600,depolarization_fraction
32.88448,24.13976,1.218909e-01,0.0087,tile_32.8500_24.0600,depolarization_fraction
32.88528,24.13976,2.234780e-01,0.2423,tile_32.8500_24.0600,depolarization_fraction
32.90064,24.13976,1.368065e-01,0.0430,tile_32.8500_24.0600,depolarization_fraction
32.90384,24.13976,2.071877e-01,0.2048,tile_32.8500_24.0600,depolarization_fraction
32.90432,24.13976,1.220956e-01,0.0092,tile_32.8500_24.0600,depolarization_fraction
32.90688,24.13976,2.004058e-01,0.1892,tile_32.8500_24.0600,depolarization_fraction
32.90928,24.13976,1.703042e-01,0.1200,tile_32.8500_24.0600,depolarization_fraction
32.91008,24.13976,1.202729e-01,0.0050,tile_32.8500_24.0600,depolarization_fraction
32.91136,24.13976,1.299215e-01,0.0272,tile_32.8500_24.0600,depolarization_fraction
32.91152,24.13976,1.722089e-01,0.1244,tile_32.8500_24.0600,depolarization_fraction
32.91168,24.13976,1.584300e-01,0.0927,tile_32.8500_24.0600,depolarization_fraction
32.91296,24.13976,1.581803e-01,0.0921,tile_32.8500_24.0600,depolarization_fraction
32.9152,24.13976,1.267095e-01,0.0198,tile_32.8500_24.0600,depolarization_fraction
32.91536,24.13976,1.649821e-01,0.1078,tile_32.8500_24.0600,depolarization_fraction
32.916,24.13976,1.379553e-01,0.0456,tile_32.8500_24.0600,depolarization_fraction
32.91648,24.13976,1.616767e-01,0.1002,tile_32.8500_24.0600,depolarization_fraction
32.92064,24.13976,1.190122e-01,0.0021,tile_32.8500_24.0600,depolarization_fraction
32.9208,24.13976,1.606690e-01,0.0979,tile_32.8500_24.0600,depolarization_fraction
32.92096,24.13976,1.290261e-01,0.0251,tile_32.8500_24.0600,depolarization_fraction
32.92112,24.13976,1.728149e-01,0.1258,tile_32.8500_24.0600,depolarization_fraction
